,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0974,0.3042,0.5888,0.6236,0.7042,0.7328,0.7413,0.7457,0.7461,0.7465,0.7476,0.7478,0.7475
1,0.0974,0.3176,0.6894,0.8069,0.8457,0.8568,0.8588,0.8578,0.8573,0.857,0.8567,0.856,0.855
2,0.0974,0.2983,0.6197,0.7437,0.8419,0.8662,0.8716,0.8722,0.8716,0.8716,0.8713,0.8717,0.872
3,0.0974,0.3445,0.6892,0.7834,0.8586,0.8737,0.8794,0.879,0.8788,0.879,0.8796,0.8794,0.8799
4,0.0974,0.3768,0.7211,0.8302,0.8764,0.8851,0.8883,0.8874,0.8875,0.8879,0.8878,0.8877,0.8874
5,0.0974,0.4762,0.8209,0.8677,0.8813,0.8854,0.8856,0.8862,0.8866,0.8857,0.8859,0.8851,0.8848
6,0.0974,0.3129,0.7037,0.8222,0.8733,0.8855,0.8904,0.8903,0.8912,0.8915,0.8911,0.8913,0.8912
7,0.0974,0.5163,0.8475,0.8818,0.892,0.8965,0.8972,0.897,0.897,0.8966,0.8959,0.8955,0.8955
8,0.0974,0.4558,0.7926,0.8652,0.8867,0.8926,0.8948,0.8944,0.8938,0.8937,0.8935,0.8931,0.8927
9,0.0974,0.4476,0.7809,0.8611,0.8898,0.8952,0.897,0.8962,0.896,0.8964,0.8964,0.8961,0.8958
10,0.0974,0.5851,0.8595,0.8861,0.8947,0.8977,0.8981,0.8984,0.8969,0.8969,0.8963,0.8966,0.8964
11,0.0974,0.3985,0.7609,0.8507,0.8861,0.8959,0.8989,0.8991,0.8986,0.8986,0.8987,0.8988,0.8985
