,0,1,2,3,4
0,0.7344,0.7344,0.7287,0.724,0.7203
1,0.76,0.7586,0.7501,0.7438,0.7371
2,0.7701,0.7704,0.766,0.7616,0.7567
3,0.7768,0.7781,0.775,0.7711,0.7669
4,0.8275,0.8256,0.8118,0.7984,0.782
5,0.871,0.8709,0.8685,0.8645,0.8575
6,0.8776,0.8791,0.8728,0.8664,0.8571
7,0.8806,0.88,0.8776,0.8726,0.8679
8,0.88,0.8804,0.8771,0.8749,0.8702
9,0.8848,0.8846,0.882,0.8778,0.8731
10,0.9628,0.9667,0.9654,0.9586,0.952
11,0.9647,0.969,0.9658,0.9603,0.9498
