,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.098,0.5589,0.8022,0.8217,0.8305,0.8355,0.8374,0.8367,0.8355,0.8354,0.8349,0.834,0.8345
1,0.098,0.6909,0.8456,0.8573,0.8649,0.8659,0.8663,0.8654,0.8644,0.8647,0.8651,0.8651,0.8651
2,0.098,0.6667,0.8571,0.869,0.8735,0.8779,0.8794,0.8797,0.8787,0.8782,0.8776,0.8769,0.8761
3,0.098,0.7308,0.868,0.8754,0.8788,0.8807,0.8813,0.8818,0.8817,0.8813,0.881,0.8811,0.881
4,0.098,0.7725,0.8776,0.8813,0.8851,0.8864,0.8884,0.8877,0.888,0.8875,0.8873,0.8874,0.8875
5,0.098,0.7874,0.8808,0.885,0.889,0.8911,0.8918,0.8911,0.8909,0.8906,0.8907,0.8909,0.8909
6,0.1032,0.7405,0.9581,0.9686,0.9729,0.9745,0.9742,0.9738,0.9735,0.9731,0.9729,0.9718,0.9718
7,0.0974,0.6261,0.949,0.9649,0.9734,0.9776,0.979,0.9777,0.9768,0.9769,0.9766,0.9762,0.9755
8,0.0974,0.6489,0.9557,0.9649,0.9712,0.9749,0.9759,0.974,0.974,0.974,0.9739,0.9735,0.9736
9,0.0974,0.6656,0.9571,0.9685,0.9762,0.9797,0.9794,0.9791,0.9785,0.978,0.978,0.9777,0.9774
10,0.0974,0.7209,0.9593,0.969,0.9737,0.9766,0.9783,0.9775,0.9767,0.9766,0.9765,0.9763,0.9761
11,0.0974,0.6469,0.9602,0.9712,0.9784,0.9821,0.9832,0.9807,0.9808,0.9805,0.9803,0.9801,0.9795
