.1280144077e-232,.2567262370e-201,.7753407831e-175,.3530929082e-153,.2441317107e-136,.2583446942e-124,.4218221205e-117,.1069302357e-114,.4218221205e-117,.2583446942e-124,.2441317107e-136,.3530929082e-153,.7753407831e-175,.2567262370e-201,.1280144077e-232
.2567262370e-201,.5027978832e-170,.1477720904e-143,.6530871023e-122,.4379153732e-105,.4507697548e-93,.7216462629e-86,.1816214907e-83,.7216462629e-86,.4507697548e-93,.4379153732e-105,.6530871023e-122,.1477720904e-143,.5027978832e-170,.2567262370e-201
.7753407831e-175,.1477720904e-143,.4201717780e-117,.1786222511e-95,.1147696340e-78,.1133568802e-66,.1758887585e-59,.4374632579e-57,.1758887585e-59,.1133568802e-66,.1147696340e-78,.1786222511e-95,.4201717780e-117,.1477720904e-143,.7753407831e-175
.3530929082e-153,.6530871023e-122,.1786222511e-95,.7227365862e-74,.4374632579e-57,.4052289826e-45,.5960764115e-38,.1451094169e-35,.5960764115e-38,.4052289826e-45,.4374632579e-57,.7227365862e-74,.1786222511e-95,.6530871023e-122,.3530929082e-153
.2441317107e-136,.4379153732e-105,.1147696340e-78,.4374632579e-57,.2440058272e-40,.2040159428e-28,.2715239365e-21,.6320094644e-19,.2715239365e-21,.2040159428e-28,.2440058272e-40,.4374632579e-57,.1147696340e-78,.4379153732e-105,.2441317107e-136
.2583446942e-124,.4507697548e-93,.1133568802e-66,.4052289826e-45,.2040159428e-28,.1452865651e-16,.1569805210e-9,.3245999952e-7,.1569805210e-9,.1452865651e-16,.2040159428e-28,.4052289826e-45,.1133568802e-66,.4507697548e-93,.2583446942e-124
.4218221205e-117,.7216462629e-86,.1758887585e-59,.5960764115e-38,.2715239365e-21,.1569805210e-9,.1081775260e-2,.1388299687,.1081775260e-2,.1569805210e-9,.2715239365e-21,.5960764115e-38,.1758887585e-59,.7216462629e-86,.4218221205e-117
.1069302357e-114,.1816214907e-83,.4374632579e-57,.1451094169e-35,.6320094644e-19,.3245999952e-7,.1388299687,-.5596471072,.1388299687,.3245999952e-7,.6320094644e-19,.1451094169e-35,.4374632579e-57,.1816214907e-83,.1069302357e-114
.4218221205e-117,.7216462629e-86,.1758887585e-59,.5960764115e-38,.2715239365e-21,.1569805210e-9,.1081775260e-2,.1388299687,.1081775260e-2,.1569805210e-9,.2715239365e-21,.5960764115e-38,.1758887585e-59,.7216462629e-86,.4218221205e-117
.2583446942e-124,.4507697548e-93,.1133568802e-66,.4052289826e-45,.2040159428e-28,.1452865651e-16,.1569805210e-9,.3245999952e-7,.1569805210e-9,.1452865651e-16,.2040159428e-28,.4052289826e-45,.1133568802e-66,.4507697548e-93,.2583446942e-124
.2441317107e-136,.4379153732e-105,.1147696340e-78,.4374632579e-57,.2440058272e-40,.2040159428e-28,.2715239365e-21,.6320094644e-19,.2715239365e-21,.2040159428e-28,.2440058272e-40,.4374632579e-57,.1147696340e-78,.4379153732e-105,.2441317107e-136
.3530929082e-153,.6530871023e-122,.1786222511e-95,.7227365862e-74,.4374632579e-57,.4052289826e-45,.5960764115e-38,.1451094169e-35,.5960764115e-38,.4052289826e-45,.4374632579e-57,.7227365862e-74,.1786222511e-95,.6530871023e-122,.3530929082e-153
.7753407831e-175,.1477720904e-143,.4201717780e-117,.1786222511e-95,.1147696340e-78,.1133568802e-66,.1758887585e-59,.4374632579e-57,.1758887585e-59,.1133568802e-66,.1147696340e-78,.1786222511e-95,.4201717780e-117,.1477720904e-143,.7753407831e-175
.2567262370e-201,.5027978832e-170,.1477720904e-143,.6530871023e-122,.4379153732e-105,.4507697548e-93,.7216462629e-86,.1816214907e-83,.7216462629e-86,.4507697548e-93,.4379153732e-105,.6530871023e-122,.1477720904e-143,.5027978832e-170,.2567262370e-201
.1280144077e-232,.2567262370e-201,.7753407831e-175,.3530929082e-153,.2441317107e-136,.2583446942e-124,.4218221205e-117,.1069302357e-114,.4218221205e-117,.2583446942e-124,.2441317107e-136,.3530929082e-153,.7753407831e-175,.2567262370e-201,.1280144077e-232
