,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0974,0.7444,0.9331,0.9485,0.957,0.9608,0.9623,0.9611,0.9601,0.9601,0.9602,0.9603,0.9599
1,0.0974,0.5939,0.9243,0.9433,0.9547,0.9605,0.9656,0.9653,0.9654,0.9652,0.9652,0.9653,0.9649
2,0.0974,0.8218,0.9559,0.9638,0.9672,0.9681,0.9701,0.9695,0.9694,0.969,0.969,0.9683,0.968
3,0.0974,0.7794,0.9575,0.9655,0.9696,0.9707,0.9707,0.9695,0.9696,0.9693,0.9692,0.9694,0.969
4,0.0974,0.8306,0.9629,0.9685,0.972,0.9736,0.9733,0.9726,0.9727,0.9722,0.9721,0.9721,0.9717
5,0.0974,0.8561,0.9652,0.9692,0.9717,0.9736,0.9757,0.975,0.975,0.9752,0.975,0.9751,0.9752
6,0.0974,0.9166,0.9736,0.9747,0.9755,0.9764,0.9762,0.9759,0.9754,0.9752,0.9751,0.9752,0.9747
7,0.0974,0.9249,0.9799,0.9803,0.9795,0.9793,0.9792,0.9781,0.9781,0.9779,0.9774,0.9771,0.977
