,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.1032,0.4172,0.6197,0.7127,0.7453,0.7564,0.7627,0.7621,0.7621,0.7613,0.7615,0.7624,0.7618
1,0.1032,0.6318,0.8051,0.8332,0.8436,0.8483,0.8503,0.853,0.8535,0.8524,0.8525,0.8525,0.8511
2,0.1032,0.6824,0.8436,0.8532,0.858,0.8631,0.866,0.8661,0.8665,0.8669,0.8672,0.8678,0.8676
3,0.1032,0.726,0.8578,0.8637,0.8707,0.8749,0.8769,0.8767,0.8764,0.876,0.8761,0.8761,0.8759
4,0.101,0.7678,0.8706,0.8746,0.8783,0.8796,0.8828,0.8842,0.884,0.8842,0.8844,0.8849,0.8853
5,0.101,0.8577,0.8805,0.8813,0.885,0.8871,0.8886,0.8871,0.8872,0.8874,0.8875,0.8872,0.8876
6,0.101,0.8576,0.8874,0.8897,0.8886,0.8879,0.8887,0.8886,0.8892,0.8896,0.8897,0.8886,0.8878
7,0.101,0.8459,0.8868,0.8905,0.8917,0.8928,0.8926,0.8921,0.8923,0.8917,0.8919,0.8919,0.8919
8,0.0974,0.7369,0.9414,0.9552,0.9625,0.968,0.9692,0.9684,0.9682,0.9684,0.9681,0.9683,0.9682
9,0.0974,0.792,0.9593,0.9678,0.9721,0.9756,0.976,0.9764,0.9765,0.9765,0.9762,0.9757,0.9754
10,0.0974,0.6473,0.9521,0.9676,0.9735,0.9769,0.9782,0.9764,0.976,0.9753,0.9752,0.9748,0.9744
11,0.0974,0.5718,0.9363,0.9611,0.9718,0.9768,0.9799,0.9798,0.9794,0.9794,0.9792,0.9787,0.9787
