,0,1,2,3,4
0,0.4838,0.4762,0.452,0.4438,0.4355
1,0.5198,0.5164,0.5103,0.5056,0.5018
2,0.5493,0.5382,0.5186,0.5067,0.4984
3,0.5504,0.5352,0.5236,0.5159,0.5086
4,0.5818,0.573,0.5541,0.5429,0.5358
5,0.5905,0.5832,0.5643,0.5529,0.5422
6,0.5886,0.5811,0.5744,0.5658,0.5598
7,0.5998,0.5916,0.5755,0.5667,0.5624
8,0.5895,0.5775,0.5709,0.5617,0.5564
9,0.6081,0.6035,0.5856,0.5768,0.5679
10,0.6073,0.5975,0.5818,0.5706,0.5614
11,0.6165,0.6103,0.5956,0.5904,0.5852
12,0.6063,0.6047,0.5856,0.5788,0.5711
13,0.6254,0.6163,0.5969,0.5861,0.58
14,0.6305,0.6244,0.6036,0.5959,0.5898
15,0.6357,0.6247,0.6057,0.5973,0.5902
16,0.6365,0.6259,0.601,0.5934,0.5851
17,0.6349,0.6262,0.6071,0.5957,0.5864
18,0.6379,0.6291,0.6126,0.6028,0.5932
19,0.6392,0.6242,0.6069,0.5956,0.5882
