,0,1,2,3,4
0,0.4833,0.482,0.4734,0.4697,0.4667
1,0.5303,0.517,0.488,0.475,0.4684
2,0.564,0.5568,0.5382,0.5268,0.5198
3,0.551,0.5421,0.5229,0.5149,0.5054
4,0.5682,0.5596,0.5443,0.5342,0.5272
5,0.5974,0.5844,0.5652,0.5494,0.5384
6,0.5986,0.5902,0.5822,0.5767,0.5707
7,0.5949,0.5891,0.577,0.5657,0.5597
8,0.6155,0.6037,0.588,0.58,0.5721
9,0.6225,0.6097,0.5967,0.589,0.5828
10,0.6233,0.6134,0.5999,0.5922,0.5866
11,0.6195,0.607,0.5791,0.5675,0.5573
12,0.6188,0.6126,0.5993,0.5912,0.5835
13,0.6286,0.6196,0.5991,0.5884,0.5811
14,0.6341,0.6243,0.6043,0.5944,0.5817
15,0.6256,0.6201,0.607,0.5982,0.5916
16,0.6246,0.6193,0.6021,0.5899,0.5828
17,0.6422,0.6316,0.6131,0.6044,0.5987
18,0.6365,0.6281,0.6136,0.6057,0.6027
19,0.6451,0.6351,0.6163,0.6079,0.6012
