,0,1,2,3,4
0,0.3554,0.3578,0.3501,0.3477,0.3446
1,0.532,0.5237,0.5022,0.4936,0.4873
2,0.5515,0.5439,0.5275,0.5188,0.512
3,0.5615,0.5513,0.5347,0.5263,0.5195
4,0.5655,0.5588,0.5458,0.5384,0.5326
5,0.5664,0.5643,0.5561,0.5468,0.5418
6,0.5685,0.5626,0.5513,0.5464,0.5412
7,0.5957,0.5862,0.5654,0.5547,0.547
8,0.5935,0.5832,0.5607,0.5492,0.5392
9,0.6008,0.5909,0.5722,0.5633,0.5583
10,0.612,0.5981,0.5785,0.5654,0.5568
11,0.6116,0.6016,0.5845,0.5728,0.5648
12,0.6108,0.6051,0.5916,0.584,0.5777
13,0.6112,0.602,0.5935,0.5869,0.5809
14,0.6141,0.6066,0.5906,0.5831,0.5753
15,0.6229,0.6157,0.6001,0.5907,0.5846
16,0.6265,0.6177,0.5999,0.5916,0.5821
17,0.6148,0.6089,0.5985,0.5924,0.5861
18,0.628,0.6175,0.6008,0.5931,0.5856
19,0.6289,0.6204,0.601,0.5902,0.5831
