,0,1,2,3,4
0,0.4672,0.4528,0.4277,0.4162,0.4109
1,0.5232,0.5185,0.5124,0.5067,0.5021
2,0.5486,0.5441,0.5369,0.5302,0.5255
3,0.5532,0.5468,0.5337,0.5242,0.5167
4,0.5261,0.521,0.5178,0.515,0.5091
5,0.5806,0.5723,0.5616,0.5544,0.5466
6,0.5953,0.5893,0.5722,0.5579,0.5509
7,0.5811,0.575,0.5676,0.5635,0.5603
8,0.6048,0.5993,0.5891,0.5812,0.574
9,0.6124,0.6049,0.585,0.5768,0.5711
10,0.6174,0.61,0.5927,0.5823,0.5748
11,0.6102,0.6018,0.5866,0.5783,0.5718
12,0.6153,0.6099,0.5889,0.5763,0.5687
13,0.6289,0.6254,0.6015,0.5909,0.5835
14,0.6152,0.6104,0.5944,0.586,0.5777
15,0.6229,0.6177,0.605,0.5953,0.5878
16,0.6343,0.6266,0.6106,0.6048,0.5968
17,0.6198,0.6105,0.603,0.5939,0.5905
18,0.6394,0.6285,0.6133,0.6064,0.5991
19,0.6342,0.6268,0.603,0.5907,0.5837
