,0,1,2,3,4
0,0.4403,0.4451,0.4498,0.4455,0.4431
1,0.5009,0.4966,0.4713,0.46,0.4536
2,0.4938,0.4994,0.5032,0.4994,0.4952
3,0.557,0.5512,0.5356,0.5273,0.5191
4,0.5131,0.5186,0.522,0.5228,0.5194
5,0.5729,0.5675,0.5572,0.5519,0.5465
6,0.5358,0.5386,0.5462,0.5463,0.543
7,0.5656,0.5682,0.554,0.5427,0.5356
8,0.5932,0.5841,0.5646,0.5529,0.5459
9,0.5797,0.5756,0.5665,0.5596,0.5554
10,0.6034,0.5967,0.5855,0.5779,0.571
11,0.5923,0.5883,0.5761,0.573,0.5639
12,0.6103,0.6017,0.5882,0.581,0.5751
13,0.6148,0.6067,0.5968,0.5886,0.5822
14,0.612,0.6049,0.5942,0.5873,0.5844
15,0.6102,0.6006,0.5832,0.5745,0.5659
16,0.6237,0.615,0.5993,0.5924,0.5849
17,0.6147,0.6062,0.5921,0.5792,0.5701
18,0.6226,0.6136,0.6036,0.5971,0.592
19,0.6282,0.6208,0.6061,0.5941,0.5882
