,0,1,2,3,4
0,0.7284,0.7325,0.7346,0.7365,0.7381
1,0.7453,0.7438,0.7463,0.7472,0.7475
2,0.6941,0.6988,0.7049,0.7058,0.7076
3,0.6568,0.657,0.6596,0.6631,0.6654
4,0.6042,0.6038,0.6101,0.6122,0.6131
