,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0958,0.5908,0.6701,0.6739,0.6782,0.681,0.6814,0.6821,0.6821,0.6823,0.6825,0.6831,0.682
1,0.1032,0.6227,0.7698,0.7755,0.7797,0.7791,0.7781,0.7782,0.7787,0.7785,0.7785,0.7788,0.7795
2,0.1032,0.7659,0.789,0.7878,0.79,0.7912,0.7914,0.7923,0.7942,0.7944,0.7945,0.7946,0.7949
3,0.1032,0.7865,0.8132,0.8138,0.8128,0.8135,0.8155,0.8148,0.8161,0.8169,0.8174,0.8175,0.8175
4,1.0,0.8255,0.8174,0.8152,0.8138,0.8128,0.8132,0.8134,0.8138,0.8139,0.8141,0.8145,0.8153
5,0.1032,0.8276,0.812,0.8092,0.8068,0.8055,0.8055,0.8049,0.8054,0.8053,0.8057,0.8062,0.8061
6,1.0,0.8477,0.8166,0.8128,0.8079,0.8062,0.8039,0.8032,0.8037,0.8037,0.8037,0.8048,0.8051
7,1.0,0.8322,0.8105,0.8065,0.8044,0.8031,0.8022,0.8022,0.8028,0.8028,0.8028,0.8028,0.8025
8,1.0,0.8119,0.8012,0.8009,0.7992,0.7997,0.7992,0.7986,0.7984,0.7983,0.7986,0.7988,0.7987
9,1.0,0.8382,0.807,0.8028,0.7996,0.7992,0.7986,0.7979,0.7982,0.7987,0.7986,0.7982,0.7986
10,1.0,0.9193,0.8977,0.8948,0.8933,0.8909,0.889,0.8892,0.8883,0.8882,0.8882,0.888,0.8875
11,1.0,0.9278,0.9075,0.9028,0.8999,0.898,0.8948,0.8934,0.893,0.8934,0.8936,0.8932,0.8931
