,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.1032,0.7453,0.768,0.7664,0.7652,0.7625,0.7612,0.7606,0.7615,0.7612,0.7609,0.7601,0.7607
1,0.1032,0.7323,0.8361,0.8413,0.8461,0.8474,0.8469,0.8487,0.8481,0.8477,0.8476,0.8468,0.8463
2,1.0,0.9016,0.9468,0.9512,0.9543,0.9559,0.954,0.9518,0.9515,0.9508,0.9505,0.95,0.9498
3,0.1032,0.9593,0.9611,0.9612,0.9612,0.9607,0.96,0.9572,0.9565,0.9562,0.9557,0.9556,0.9557
4,0.1032,0.9447,0.9611,0.9626,0.9643,0.9651,0.9672,0.9667,0.9665,0.9662,0.966,0.9657,0.9657
5,1.0,0.9616,0.971,0.971,0.9713,0.9712,0.9711,0.9713,0.9711,0.9711,0.9707,0.9703,0.9701
6,1.0,0.971,0.9739,0.9729,0.973,0.9733,0.9719,0.9705,0.9706,0.9704,0.9704,0.9706,0.9709
7,1.0,0.9758,0.9754,0.9753,0.9758,0.9762,0.9767,0.9762,0.9756,0.975,0.9751,0.975,0.9749
8,1.0,0.9736,0.9757,0.9754,0.9763,0.9771,0.9775,0.9772,0.9767,0.9766,0.9766,0.9765,0.9763
9,1.0,0.9754,0.9758,0.9761,0.9755,0.9762,0.9769,0.9766,0.9766,0.9767,0.9768,0.9765,0.9763
10,1.0,0.9652,0.9722,0.9731,0.9744,0.9748,0.9759,0.9746,0.9749,0.9746,0.9744,0.9741,0.9742
11,1.0,0.9686,0.9762,0.977,0.9773,0.9781,0.9793,0.9782,0.9777,0.9773,0.9774,0.9773,0.9772
