,0,1,2,3,4,5
0,0.7189,0.7189,0.7189,0.7189,0.7189,0.7189
1,0.8328,0.8328,0.8328,0.8328,0.8328,0.8328
2,0.8473,0.8473,0.8473,0.8473,0.8473,0.8473
3,0.838,0.838,0.838,0.838,0.838,0.838
4,0.9283,0.9283,0.9283,0.9283,0.9283,0.9283
5,0.9334,0.9334,0.9334,0.9334,0.9334,0.9334
6,0.9298,0.9298,0.9298,0.9298,0.9298,0.9298
7,0.9235,0.9235,0.9235,0.9235,0.9235,0.9235
8,0.9426,0.9426,0.9426,0.9426,0.9426,0.9426
9,0.9398,0.9398,0.9398,0.9398,0.9398,0.9398
10,0.9384,0.9384,0.9384,0.9384,0.9384,0.9384
11,0.9382,0.9382,0.9382,0.9382,0.9382,0.9382
