,0,1,2,3,4,5
0,0.7251,0.7251,0.7251,0.7251,0.7251,0.7251
1,0.8722,0.8722,0.8722,0.8722,0.8722,0.8722
2,0.8975,0.8975,0.8975,0.8975,0.8975,0.8975
3,0.9156,0.9156,0.9156,0.9156,0.9156,0.9156
4,0.929,0.929,0.929,0.929,0.929,0.929
5,0.928,0.928,0.928,0.928,0.928,0.928
6,0.9246,0.9246,0.9246,0.9246,0.9246,0.9246
7,0.9359,0.9359,0.9359,0.9359,0.9359,0.9359
8,0.9388,0.9388,0.9388,0.9388,0.9388,0.9388
9,0.9339,0.9339,0.9339,0.9339,0.9339,0.9339
10,0.9419,0.942,0.9419,0.942,0.942,0.942
11,0.9409,0.9409,0.9409,0.9409,0.9409,0.9409
