,0,1,2,3,4,5
0,0.7617,0.7617,0.7617,0.7617,0.7617,0.7617
1,0.8252,0.8252,0.8252,0.8252,0.8252,0.8252
2,0.9087,0.9087,0.9087,0.9087,0.9087,0.9087
3,0.9178,0.9178,0.9178,0.9178,0.9178,0.9178
4,0.909,0.909,0.909,0.909,0.909,0.909
5,0.9315,0.9315,0.9315,0.9315,0.9315,0.9315
6,0.9353,0.9353,0.9353,0.9353,0.9353,0.9353
7,0.9399,0.9399,0.9399,0.9399,0.9399,0.9399
8,0.9415,0.9415,0.9415,0.9415,0.9415,0.9415
9,0.9436,0.9436,0.9436,0.9436,0.9436,0.9436
10,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
11,0.9436,0.9436,0.9436,0.9436,0.9436,0.9436
