,0,1,2,3,4,5
0,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195
1,0.8345,0.8345,0.8345,0.8345,0.8345,0.8345
2,0.8407,0.8407,0.8407,0.8407,0.8407,0.8407
3,0.8444,0.8444,0.8444,0.8444,0.8444,0.8444
4,0.8501,0.8501,0.8501,0.8501,0.8501,0.8501
5,0.8545,0.8545,0.8545,0.8545,0.8545,0.8545
6,0.9214,0.9214,0.9214,0.9214,0.9214,0.9214
7,0.9396,0.9396,0.9396,0.9396,0.9396,0.9396
8,0.9443,0.9443,0.9443,0.9443,0.9443,0.9443
9,0.9411,0.9411,0.9411,0.9411,0.9411,0.9411
10,0.9469,0.9469,0.9469,0.9469,0.9469,0.9469
11,0.9448,0.9448,0.9448,0.9448,0.9448,0.9448
