,0,1,2,3,4,5
0,0.7794,0.7794,0.7794,0.7794,0.7794,0.7794
1,0.8984,0.8984,0.8984,0.8984,0.8984,0.8984
2,0.9155,0.9155,0.9155,0.9155,0.9155,0.9155
3,0.9269,0.9268,0.9269,0.9269,0.9269,0.9269
4,0.9261,0.9261,0.9261,0.9261,0.9261,0.9261
5,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
6,0.9421,0.9421,0.9421,0.9421,0.9421,0.9421
7,0.937,0.9369,0.937,0.937,0.937,0.937
8,0.9286,0.9286,0.9286,0.9286,0.9286,0.9286
9,0.9194,0.9194,0.9194,0.9194,0.9194,0.9194
10,0.9459,0.9459,0.9459,0.9459,0.9459,0.9459
11,0.9422,0.9422,0.9422,0.9422,0.9422,0.9422
