,0,1,2,3,4,5
0,0.7043,0.7043,0.7043,0.7043,0.7043,0.7043
1,0.8342,0.8342,0.8342,0.8342,0.8342,0.8342
2,0.8418,0.8418,0.8418,0.8418,0.8418,0.8418
3,0.8555,0.8555,0.8555,0.8555,0.8555,0.8555
4,0.8591,0.8591,0.8591,0.8591,0.8591,0.8591
5,0.8613,0.8613,0.8613,0.8613,0.8613,0.8613
6,0.8554,0.8554,0.8554,0.8554,0.8554,0.8554
7,0.8621,0.8621,0.8621,0.8621,0.8621,0.8621
8,0.8615,0.8615,0.8615,0.8615,0.8615,0.8615
9,0.8664,0.8664,0.8664,0.8664,0.8664,0.8664
10,0.936,0.936,0.936,0.936,0.936,0.936
11,0.9348,0.9348,0.9348,0.9348,0.9348,0.9348
