,0,1,2,3,4,5
0,0.7224,0.7223,0.7224,0.7224,0.7223,0.7224
1,0.8053,0.8053,0.8053,0.8053,0.8053,0.8053
2,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367
3,0.852,0.852,0.852,0.852,0.852,0.852
4,0.856,0.856,0.856,0.856,0.856,0.856
5,0.8511,0.8511,0.8511,0.8511,0.8511,0.8511
6,0.8471,0.8471,0.8472,0.8471,0.8471,0.8471
7,0.9296,0.9296,0.9296,0.9296,0.9296,0.9296
8,0.9347,0.9347,0.9347,0.9347,0.9347,0.9347
9,0.9404,0.9404,0.9404,0.9404,0.9404,0.9404
10,0.9471,0.9471,0.9471,0.9471,0.9471,0.9471
11,0.9452,0.9452,0.9452,0.9452,0.9452,0.9452
