,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.098,0.5377,0.7491,0.7633,0.7701,0.7738,0.7766,0.7779,0.7775,0.7771,0.7771,0.7774,0.7767
1,0.098,0.6931,0.7787,0.7824,0.7853,0.7878,0.7885,0.7893,0.789,0.7894,0.7904,0.7897,0.7892
2,0.1032,0.777,0.7889,0.7887,0.7893,0.7892,0.7927,0.7928,0.7929,0.7931,0.7934,0.7929,0.7935
3,0.0958,0.7797,0.8002,0.8006,0.8008,0.8025,0.8023,0.8031,0.8031,0.8029,0.8031,0.8032,0.803
4,0.0958,0.7019,0.7906,0.7967,0.8014,0.8032,0.8061,0.8068,0.8069,0.8079,0.8075,0.8077,0.8075
5,0.0982,0.7254,0.871,0.8792,0.8815,0.8825,0.8809,0.8824,0.8812,0.8808,0.8807,0.8806,0.8811
6,0.0982,0.8297,0.8924,0.8922,0.8896,0.8875,0.8853,0.8843,0.8847,0.8848,0.8846,0.8849,0.8849
7,0.0982,0.6404,0.9306,0.9499,0.9613,0.9654,0.9668,0.9665,0.9659,0.9657,0.9654,0.9653,0.9646
8,0.0982,0.6815,0.9513,0.966,0.9723,0.9744,0.9744,0.9722,0.9716,0.9709,0.9706,0.9705,0.97
9,0.0982,0.6825,0.9579,0.9693,0.9753,0.9745,0.9745,0.9731,0.9723,0.9719,0.9714,0.9707,0.9706
10,0.0982,0.6703,0.9488,0.9653,0.9747,0.9785,0.9787,0.9782,0.9778,0.9774,0.9774,0.9772,0.9773
11,0.0982,0.705,0.9641,0.9747,0.9785,0.981,0.9796,0.9785,0.9774,0.9771,0.9769,0.9766,0.9763
