,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0974,0.2914,0.6103,0.7209,0.789,0.8169,0.8286,0.828,0.8283,0.8285,0.8272,0.8266,0.8264
1,0.0974,0.3289,0.6455,0.7544,0.8257,0.8482,0.8578,0.8593,0.8601,0.8597,0.8596,0.8599,0.8598
2,0.0974,0.343,0.6347,0.7779,0.8448,0.8652,0.8714,0.8718,0.8716,0.8717,0.872,0.8723,0.8719
3,0.0974,0.3949,0.6699,0.8042,0.862,0.875,0.8781,0.879,0.8793,0.8793,0.879,0.8789,0.8784
4,0.101,0.3265,0.6982,0.829,0.8672,0.8807,0.8838,0.885,0.8852,0.8848,0.8849,0.8842,0.8841
5,0.0974,0.3716,0.6505,0.7948,0.8628,0.882,0.887,0.8874,0.888,0.8884,0.8883,0.8885,0.8884
6,0.0974,0.4711,0.8319,0.9282,0.9595,0.9696,0.9719,0.9711,0.9708,0.9702,0.9699,0.9694,0.9695
7,0.0974,0.4432,0.8189,0.9235,0.9606,0.9719,0.9746,0.974,0.9733,0.9734,0.9732,0.9729,0.9724
8,0.0974,0.5233,0.9061,0.9572,0.9697,0.9761,0.9757,0.9751,0.975,0.975,0.9749,0.9749,0.9744
9,0.0974,0.4724,0.9243,0.9631,0.9744,0.9785,0.9776,0.9762,0.9755,0.9752,0.9751,0.9748,0.9742
10,0.0974,0.4775,0.912,0.9572,0.9721,0.9769,0.9778,0.9768,0.9759,0.9751,0.975,0.9746,0.9742
11,0.0974,0.4853,0.8732,0.9426,0.9652,0.9763,0.9788,0.9785,0.9785,0.9782,0.978,0.9775,0.9776
