,0,1,2,3,4
0,0.4939,0.4909,0.4701,0.4625,0.456
1,0.5408,0.5369,0.523,0.5148,0.5063
2,0.5785,0.5711,0.5452,0.5341,0.524
3,0.5957,0.5845,0.5718,0.5644,0.5575
4,0.5871,0.5866,0.5689,0.5575,0.5462
5,0.6234,0.6111,0.5916,0.5793,0.569
6,0.6153,0.6125,0.5924,0.5799,0.5712
7,0.6383,0.6277,0.6015,0.5879,0.5812
8,0.6426,0.6326,0.6108,0.5977,0.5924
9,0.6573,0.6413,0.6177,0.6083,0.6039
10,0.6597,0.6472,0.6248,0.6122,0.6066
11,0.6633,0.6459,0.6213,0.6111,0.6061
12,0.6711,0.6587,0.6331,0.6181,0.6106
13,0.6687,0.6567,0.6323,0.618,0.6098
14,0.6786,0.663,0.6395,0.6305,0.6204
15,0.6724,0.6663,0.6368,0.6223,0.6148
16,0.6807,0.6699,0.6421,0.6305,0.6221
17,0.6795,0.6687,0.6419,0.6265,0.6179
18,0.6892,0.6779,0.6489,0.6351,0.6283
19,0.6911,0.6751,0.6506,0.6394,0.6326
