,0,1,2,3,4
0,0.4916,0.4913,0.4777,0.4712,0.4664
1,0.5535,0.5477,0.5281,0.5173,0.5105
2,0.5671,0.5651,0.5488,0.5362,0.5319
3,0.6004,0.5849,0.5673,0.5581,0.5539
4,0.604,0.5998,0.5798,0.5684,0.561
5,0.6053,0.6069,0.5888,0.5793,0.5754
6,0.6324,0.6257,0.602,0.5906,0.5805
7,0.6425,0.6343,0.6077,0.5952,0.589
8,0.6457,0.6382,0.6122,0.6017,0.5915
9,0.6555,0.6504,0.6214,0.609,0.6005
10,0.6654,0.6554,0.6263,0.6116,0.6034
11,0.6645,0.6553,0.6241,0.61,0.6007
12,0.6728,0.6614,0.632,0.6221,0.6146
13,0.6726,0.6656,0.6388,0.6246,0.6172
14,0.6768,0.6694,0.6387,0.62,0.6098
15,0.6686,0.6554,0.6328,0.6238,0.6187
16,0.6878,0.6741,0.6425,0.6305,0.6249
17,0.6877,0.6788,0.6491,0.6325,0.6238
18,0.6897,0.6807,0.6509,0.639,0.6284
19,0.6787,0.6746,0.6441,0.6294,0.6179
