,0,1,2,3,4
0,0.485,0.4803,0.4582,0.4488,0.4428
1,0.5506,0.5376,0.5154,0.5066,0.4994
2,0.5558,0.5539,0.539,0.5311,0.5226
3,0.5939,0.5828,0.5694,0.5618,0.5561
4,0.607,0.5974,0.583,0.5741,0.5688
5,0.599,0.5986,0.5818,0.5711,0.5589
6,0.6174,0.6121,0.5907,0.5771,0.5689
7,0.6357,0.6199,0.6019,0.5866,0.5768
8,0.6362,0.6279,0.6117,0.6025,0.5917
9,0.6493,0.6368,0.612,0.6002,0.5901
10,0.6608,0.6457,0.6248,0.6137,0.6044
11,0.6594,0.6478,0.6301,0.621,0.6136
12,0.6677,0.6523,0.6282,0.6176,0.6096
13,0.6689,0.6547,0.6361,0.6235,0.6173
14,0.6654,0.6585,0.6397,0.6254,0.6164
15,0.679,0.66,0.6398,0.6305,0.6246
16,0.6781,0.668,0.6422,0.6336,0.6274
17,0.681,0.6734,0.6473,0.635,0.6251
18,0.6804,0.6695,0.6486,0.6368,0.6287
19,0.6824,0.6708,0.6475,0.6391,0.6317
