,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0974,0.2404,0.5505,0.6745,0.8201,0.895,0.9119,0.9123,0.9122,0.9107,0.9102,0.9101,0.9094
1,0.0974,0.2687,0.7024,0.812,0.9182,0.9419,0.948,0.9463,0.9459,0.9461,0.9458,0.945,0.9448
2,0.0974,0.305,0.6738,0.7928,0.9227,0.9509,0.9578,0.9574,0.9574,0.957,0.9571,0.9565,0.9562
3,0.0974,0.3498,0.7351,0.8487,0.9488,0.9635,0.9664,0.9654,0.9651,0.9654,0.9653,0.9644,0.9639
4,0.0974,0.2763,0.5688,0.7296,0.9135,0.9546,0.967,0.9694,0.9698,0.9695,0.9696,0.9697,0.9697
5,0.0974,0.3839,0.8099,0.9271,0.9643,0.9716,0.9725,0.9699,0.969,0.9686,0.9679,0.9669,0.9663
6,0.0974,0.3601,0.7389,0.9048,0.9645,0.9757,0.9778,0.9773,0.9764,0.9763,0.9761,0.9754,0.975
7,0.0974,0.3371,0.6998,0.8613,0.958,0.9728,0.9778,0.9773,0.9772,0.9771,0.977,0.9766,0.9754
8,0.0974,0.3585,0.7759,0.9181,0.9691,0.9785,0.9796,0.979,0.9784,0.9782,0.9779,0.9778,0.9777
9,0.0974,0.2878,0.6339,0.8231,0.9449,0.9723,0.9776,0.9792,0.9792,0.9789,0.9789,0.9784,0.9778
10,0.0974,0.2289,0.7147,0.8916,0.9617,0.9773,0.9788,0.9787,0.9787,0.9784,0.9781,0.9779,0.978
11,0.0974,0.3447,0.7896,0.919,0.9719,0.9816,0.9833,0.9832,0.9829,0.9826,0.9822,0.982,0.9817
