,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1.0,0.8419,0.838,0.8319,0.8293,0.8265,0.8311,0.8359,0.8368,0.8376,0.8387,0.8395,0.8404
1,1.0,0.8722,0.8521,0.8489,0.846,0.8438,0.8421,0.8435,0.8441,0.8438,0.8439,0.8448,0.8453
2,0.098,0.8245,0.8192,0.8168,0.8195,0.8218,0.8273,0.832,0.8328,0.8333,0.8331,0.8337,0.8338
3,0.098,0.8682,0.8352,0.8315,0.8274,0.8281,0.8328,0.8338,0.8342,0.834,0.8344,0.8346,0.8351
4,1.0,0.7832,0.7967,0.7984,0.7995,0.7984,0.7993,0.8018,0.802,0.8017,0.8019,0.8013,0.8012
5,0.098,0.8194,0.8148,0.8157,0.8125,0.808,0.8075,0.8094,0.8081,0.8082,0.8085,0.8083,0.8084
6,1.0,0.8818,0.8968,0.8954,0.8954,0.8937,0.8959,0.8961,0.8963,0.8966,0.8965,0.8966,0.8966
7,1.0,0.8609,0.8868,0.887,0.8879,0.8902,0.8887,0.8913,0.8918,0.8911,0.8917,0.8919,0.8923
