,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.101,0.3821,0.4881,0.4938,0.4977,0.5011,0.5034,0.5065,0.5063,0.5064,0.5064,0.5072,0.508
1,0.101,0.4841,0.6953,0.7041,0.7096,0.7135,0.7203,0.7256,0.7269,0.7272,0.7271,0.7286,0.7286
2,0.101,0.6058,0.7855,0.7921,0.7951,0.7983,0.804,0.8062,0.8061,0.8065,0.8074,0.8077,0.8081
3,0.101,0.4385,0.7334,0.7644,0.7769,0.7839,0.7916,0.7914,0.7921,0.7923,0.7922,0.7926,0.7928
4,0.1032,0.8925,0.9016,0.8993,0.8956,0.8945,0.8946,0.8962,0.8962,0.8956,0.896,0.8957,0.8957
5,1.0,0.9218,0.9026,0.8986,0.8978,0.8969,0.8965,0.8953,0.8957,0.8951,0.8945,0.8945,0.8946
6,1.0,0.9125,0.895,0.8959,0.8965,0.8967,0.8951,0.8963,0.8957,0.8958,0.8956,0.8952,0.8955
7,1.0,0.9346,0.9065,0.905,0.902,0.8983,0.8963,0.8962,0.8966,0.8968,0.8967,0.8965,0.8968
