,0,1,2,3,4
0,0.7022,0.7143,0.7247,0.7209,0.7127
1,0.8747,0.8925,0.9227,0.9326,0.9384
2,0.8785,0.8839,0.8824,0.8771,0.8732
3,0.8799,0.8796,0.869,0.8645,0.8643
4,0.8869,0.8847,0.8671,0.8405,0.8143
5,0.8917,0.8989,0.9037,0.9024,0.8982
6,0.8914,0.8921,0.8821,0.8678,0.8481
7,0.8793,0.8706,0.8302,0.7855,0.7372
8,0.8835,0.8768,0.8197,0.7399,0.6439
9,0.8886,0.8912,0.8807,0.8642,0.8482
10,0.8844,0.8766,0.8083,0.712,0.6318
11,0.8816,0.8742,0.806,0.7299,0.6566
