,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.098,0.5391,0.6078,0.6672,0.6877,0.6935,0.6974,0.7006,0.7009,0.7004,0.7003,0.7001,0.7001
1,0.098,0.5287,0.689,0.699,0.7027,0.703,0.7036,0.7054,0.705,0.7054,0.7052,0.7054,0.7057
2,0.1009,0.5506,0.768,0.7775,0.7831,0.7892,0.7904,0.7894,0.7899,0.789,0.7888,0.7885,0.7891
3,0.1009,0.5347,0.7822,0.793,0.7979,0.7997,0.8016,0.8027,0.8024,0.8024,0.803,0.8027,0.8025
4,1.0,0.5193,0.7758,0.7952,0.8022,0.8055,0.8082,0.8088,0.8082,0.8076,0.8075,0.8075,0.8076
5,1.0,0.6131,0.7925,0.804,0.8073,0.8085,0.8108,0.8124,0.8123,0.8128,0.813,0.8137,0.8128
6,0.0982,0.6199,0.7982,0.8074,0.8121,0.8132,0.8137,0.8114,0.8121,0.8127,0.8127,0.8119,0.8124
7,0.0982,0.583,0.7873,0.802,0.811,0.8164,0.8197,0.8222,0.8232,0.8227,0.822,0.8228,0.823
8,0.0982,0.5419,0.7965,0.8097,0.8146,0.8143,0.8169,0.8159,0.815,0.8144,0.8148,0.815,0.8154
9,0.0982,0.5663,0.7976,0.8117,0.8198,0.8236,0.8256,0.8256,0.8257,0.8258,0.826,0.8263,0.8264
10,0.0982,0.4157,0.8696,0.8896,0.8946,0.8968,0.8951,0.8937,0.8937,0.8934,0.8933,0.8934,0.8935
11,0.0982,0.3868,0.8403,0.877,0.8965,0.9054,0.9119,0.9124,0.9117,0.9115,0.9114,0.9119,0.9114
