,0,1,2,3,4
0,0.5301,0.3858,0.256,0.2372,0.2283
1,0.5746,0.465,0.2963,0.2763,0.2689
2,0.6261,0.5001,0.3184,0.2925,0.2833
3,0.5481,0.3337,0.2463,0.2311,0.2255
4,0.6802,0.4798,0.2882,0.2649,0.2563
5,0.6363,0.5671,0.3394,0.3083,0.3015
6,0.6938,0.5304,0.3202,0.2944,0.2887
7,0.7178,0.514,0.3065,0.2854,0.2803
8,0.7303,0.4505,0.2881,0.267,0.2639
9,0.7331,0.4489,0.2931,0.2742,0.269
10,0.7398,0.5072,0.3147,0.2941,0.2905
11,0.7469,0.4807,0.2952,0.2743,0.2718
12,0.7434,0.4918,0.3031,0.2879,0.2832
13,0.749,0.4558,0.302,0.2859,0.2802
14,0.76,0.4738,0.31,0.2972,0.2933
15,0.7615,0.5041,0.3141,0.2926,0.2866
16,0.7624,0.5038,0.3194,0.3009,0.2957
17,0.7684,0.5083,0.3135,0.2939,0.2915
18,0.7686,0.4937,0.3097,0.2914,0.2869
19,0.7719,0.4853,0.3129,0.2995,0.295
