,0,1,2,3,4
0,0.5252,0.4648,0.3471,0.3254,0.3151
1,0.6068,0.4223,0.3081,0.2901,0.2809
2,0.6569,0.4648,0.3147,0.2965,0.2913
3,0.6753,0.484,0.3233,0.3065,0.3001
4,0.6899,0.5133,0.335,0.311,0.3048
5,0.7031,0.4702,0.3122,0.2972,0.2924
6,0.7216,0.5042,0.3321,0.3148,0.3075
7,0.7252,0.4842,0.3216,0.3055,0.3005
8,0.7344,0.4923,0.3241,0.3056,0.2987
9,0.7474,0.4752,0.3225,0.3068,0.3012
10,0.7478,0.4839,0.3266,0.3073,0.3023
11,0.7576,0.4739,0.317,0.2997,0.2979
12,0.7544,0.4651,0.3154,0.3018,0.2985
13,0.7602,0.471,0.3224,0.3082,0.3045
14,0.7634,0.4857,0.3185,0.3028,0.3003
15,0.7657,0.4682,0.314,0.3002,0.2968
16,0.7648,0.4435,0.3079,0.2953,0.2927
17,0.7711,0.459,0.3081,0.2967,0.2938
18,0.7772,0.4913,0.321,0.3057,0.3008
19,0.7788,0.5103,0.3334,0.3134,0.312
