,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.1032,0.6124,0.7858,0.8117,0.8255,0.8299,0.8341,0.8353,0.8358,0.8358,0.8359,0.8353,0.8351
1,1.0,0.8112,0.9062,0.9093,0.9102,0.9119,0.9114,0.9097,0.9093,0.9083,0.908,0.9084,0.9077
2,0.1032,0.8912,0.9294,0.9329,0.9359,0.9373,0.9391,0.939,0.9385,0.9386,0.9388,0.9387,0.9382
3,0.101,0.9227,0.9452,0.9474,0.95,0.9536,0.9568,0.9571,0.9572,0.9572,0.9576,0.9575,0.9575
4,0.101,0.9591,0.9619,0.9621,0.9627,0.9649,0.9669,0.9666,0.9666,0.9661,0.9659,0.9658,0.9656
5,0.1028,0.9528,0.9703,0.9716,0.9722,0.9724,0.973,0.9723,0.9719,0.9717,0.9714,0.9711,0.9708
6,0.101,0.9687,0.9734,0.9732,0.9734,0.9745,0.9748,0.9748,0.9745,0.9741,0.9739,0.9738,0.9737
7,0.1028,0.953,0.9741,0.9755,0.9769,0.9786,0.9785,0.9775,0.977,0.9767,0.9765,0.9763,0.9762
8,0.101,0.971,0.9781,0.9772,0.9775,0.9772,0.9774,0.9767,0.9762,0.9761,0.9763,0.9763,0.9763
9,0.101,0.9643,0.9801,0.9806,0.9806,0.9816,0.9813,0.9813,0.9809,0.9809,0.9809,0.9805,0.98
10,0.101,0.9776,0.9818,0.9817,0.9811,0.9816,0.9824,0.9807,0.9809,0.9806,0.9806,0.9804,0.9803
11,1.0,0.9752,0.9813,0.9812,0.981,0.9815,0.9822,0.9803,0.9797,0.9795,0.9795,0.9799,0.9795
