,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.101,0.6406,0.7538,0.7598,0.7631,0.7646,0.7653,0.7655,0.7659,0.7658,0.7659,0.766,0.7651
1,0.101,0.7504,0.7767,0.7762,0.7781,0.7788,0.7799,0.7792,0.7798,0.7797,0.7795,0.7787,0.7787
2,1.0,0.7737,0.7903,0.7911,0.7923,0.7911,0.7912,0.7909,0.7914,0.7915,0.7914,0.7915,0.7916
3,0.0958,0.7968,0.7998,0.7971,0.7976,0.8,0.8003,0.7988,0.7995,0.799,0.7991,0.7991,0.7986
4,1.0,0.8164,0.8024,0.8029,0.8006,0.7997,0.8011,0.8018,0.8019,0.8021,0.8025,0.8021,0.8023
5,1.0,0.8198,0.8068,0.8056,0.8057,0.8042,0.8058,0.806,0.8061,0.8056,0.8057,0.8056,0.8061
6,0.0982,0.8129,0.8094,0.8062,0.8066,0.8053,0.8041,0.8036,0.8032,0.8033,0.8037,0.8036,0.8041
7,1.0,0.8284,0.8121,0.8096,0.8079,0.8082,0.8094,0.8086,0.8088,0.8083,0.8083,0.8087,0.8086
8,0.0974,0.7624,0.83,0.8376,0.8431,0.8495,0.8499,0.8489,0.8485,0.8484,0.8484,0.848,0.8473
9,1.0,0.8979,0.8979,0.8976,0.8968,0.8964,0.8974,0.8972,0.8968,0.8964,0.8963,0.8965,0.8962
10,0.1135,0.8935,0.8963,0.8972,0.8971,0.8975,0.8986,0.8976,0.897,0.8968,0.8967,0.8964,0.8961
11,1.0,0.9041,0.9007,0.9003,0.9002,0.8998,0.9,0.9007,0.9006,0.9011,0.9012,0.9004,0.9004
