,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.101,0.6722,0.733,0.7407,0.7418,0.741,0.7397,0.7425,0.7424,0.7419,0.7418,0.7411,0.7406
1,0.0892,0.6626,0.8193,0.825,0.8284,0.8333,0.8368,0.8378,0.838,0.8382,0.8379,0.8375,0.8365
2,0.1032,0.852,0.872,0.8724,0.8724,0.8736,0.8734,0.8731,0.8728,0.8727,0.8726,0.8726,0.8722
3,0.1032,0.9306,0.946,0.9478,0.9482,0.9477,0.9494,0.9477,0.9469,0.9468,0.9467,0.9463,0.9468
4,0.1135,0.9564,0.9598,0.96,0.9606,0.9613,0.9593,0.9573,0.9565,0.9562,0.956,0.9558,0.9558
5,0.0958,0.9416,0.9629,0.9647,0.9657,0.9665,0.9656,0.9636,0.963,0.9622,0.9623,0.9618,0.961
6,0.1135,0.9528,0.9664,0.967,0.9675,0.968,0.9676,0.9678,0.9661,0.9661,0.9662,0.9662,0.9658
7,0.1135,0.9644,0.9735,0.9738,0.9735,0.9738,0.9723,0.9707,0.9706,0.9704,0.97,0.9692,0.9689
8,0.1135,0.9554,0.9684,0.9707,0.9717,0.9736,0.975,0.9738,0.9735,0.9732,0.9729,0.9732,0.9731
9,0.1135,0.9677,0.9733,0.9736,0.9732,0.9734,0.9728,0.972,0.9714,0.9711,0.9709,0.9706,0.9702
10,0.1135,0.965,0.9742,0.9756,0.9759,0.9771,0.9775,0.9765,0.9763,0.9758,0.9759,0.9757,0.9751
11,0.1135,0.9724,0.9771,0.9779,0.9785,0.9784,0.9785,0.977,0.9767,0.9764,0.9764,0.976,0.9756
