,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.101,0.4834,0.6689,0.6759,0.6799,0.6794,0.6825,0.6819,0.6817,0.682,0.6813,0.6817,0.6821
1,0.101,0.6623,0.6962,0.6964,0.6951,0.6954,0.6962,0.6957,0.6956,0.6961,0.6959,0.6965,0.6966
2,0.1032,0.7089,0.7084,0.7062,0.7042,0.7021,0.7026,0.7038,0.7038,0.7031,0.703,0.7032,0.703
3,0.0974,0.6178,0.7775,0.7806,0.7839,0.785,0.7882,0.7884,0.7882,0.7878,0.7882,0.7885,0.7882
4,0.0974,0.7905,0.7927,0.792,0.7918,0.7921,0.7932,0.7936,0.794,0.7935,0.7937,0.7941,0.7941
5,1.0,0.7953,0.7976,0.7974,0.7976,0.797,0.7952,0.7963,0.7966,0.7964,0.796,0.7959,0.7961
6,0.0974,0.7923,0.798,0.7983,0.7982,0.7981,0.8,0.8011,0.8003,0.8007,0.8009,0.8009,0.8011
7,1.0,0.8071,0.8056,0.8063,0.8073,0.8061,0.8071,0.8084,0.8076,0.8071,0.8066,0.8067,0.8066
8,0.1135,0.9092,0.8978,0.896,0.8948,0.8947,0.8925,0.8915,0.8919,0.8913,0.891,0.8913,0.8914
9,1.0,0.9639,0.9705,0.9709,0.9716,0.9725,0.9708,0.9697,0.9688,0.9686,0.9684,0.9682,0.9677
10,0.1135,0.9636,0.9721,0.9725,0.9737,0.9749,0.9748,0.9743,0.9742,0.9741,0.9739,0.9737,0.9735
11,1.0,0.9692,0.9758,0.9767,0.9771,0.9773,0.9776,0.9763,0.976,0.9758,0.9756,0.9752,0.9747
