0.39665,0.6044,0.7028,0.7665,0.78115,0.78495,0.7863,0.7855,0.78505,0.785,0.78525
0.7731,0.8712,0.8733,0.8741,0.8752,0.87875,0.8832,0.8842,0.8846,0.88495,0.88555
0.7794,0.90355,0.91175,0.9144,0.91735,0.91755,0.91815,0.91845,0.9187,0.9185,0.9189
0.75885,0.91085,0.9287,0.93665,0.94225,0.94255,0.944,0.94405,0.94425,0.94405,0.94405
0.845,0.9383,0.9502,0.9534,0.9537,0.9535,0.95315,0.95285,0.95275,0.95225,0.95225
0.75235,0.9337,0.94815,0.95555,0.96,0.96265,0.9624,0.9622,0.962,0.96175,0.96195
0.78875,0.93845,0.95185,0.95865,0.9628,0.96605,0.9662,0.96585,0.96585,0.96575,0.96525
0.7204,0.94525,0.9604,0.96675,0.9697,0.9705,0.96955,0.96955,0.96935,0.9694,0.9695
0.8498,0.9578,0.96445,0.96795,0.97075,0.9724,0.97215,0.9721,0.97175,0.97175,0.9716
0.7883,0.95325,0.96525,0.9705,0.97265,0.9744,0.97365,0.9734,0.97345,0.9733,0.9734
0.85715,0.959,0.9689,0.97375,0.97555,0.97655,0.976,0.97565,0.97535,0.97525,0.9752
0.82355,0.96235,0.9713,0.97425,0.9747,0.9746,0.9741,0.97375,0.97335,0.9733,0.97295
