0.47865,0.6992,0.74415,0.77425,0.7771,0.7777,0.77885,0.7783,0.77795,0.7777,0.77795
0.55475,0.73105,0.7794,0.8123,0.8367,0.84165,0.8421,0.84205,0.84225,0.84265,0.84235
0.56705,0.7724,0.8169,0.86115,0.86475,0.86615,0.86635,0.86585,0.86615,0.86595,0.8661
0.42495,0.77355,0.83345,0.86575,0.87735,0.8802,0.88135,0.8811,0.88065,0.88055,0.88035
0.52325,0.7923,0.85115,0.8854,0.888,0.889,0.88865,0.8889,0.8885,0.8884,0.8882
0.4717,0.84135,0.8821,0.88705,0.89135,0.8935,0.8931,0.8926,0.89255,0.8927,0.8927
0.5399,0.8542,0.919,0.96125,0.96965,0.97195,0.971,0.9706,0.9704,0.97035,0.96995
0.5551,0.8806,0.9405,0.9634,0.9719,0.97385,0.97325,0.973,0.97295,0.9728,0.97245
0.60815,0.91585,0.9567,0.9708,0.97465,0.97515,0.97325,0.9728,0.97275,0.97265,0.9722
0.5995,0.8958,0.9563,0.97305,0.97735,0.9785,0.97865,0.97825,0.9779,0.9777,0.97745
0.5723,0.9237,0.96055,0.97295,0.9772,0.9785,0.97785,0.97725,0.977,0.97695,0.97675
0.60985,0.9254,0.96035,0.9755,0.9811,0.9809,0.98045,0.98,0.9799,0.9797,0.9796
