0.36575,0.5983,0.6594,0.72125,0.75095,0.7589,0.75825,0.7582,0.7575,0.75755,0.75765
0.3601,0.6783,0.7536,0.8003,0.8276,0.83655,0.83835,0.83895,0.8381,0.8382,0.8383
0.38395,0.64605,0.7708,0.842,0.86415,0.8687,0.86885,0.86875,0.869,0.86895,0.8695
0.4369,0.7556,0.823,0.86445,0.8743,0.8759,0.8754,0.875,0.8743,0.87425,0.874
0.4121,0.7372,0.82305,0.8668,0.87865,0.88245,0.88355,0.88345,0.88325,0.8834,0.88345
0.48185,0.8067,0.8611,0.8824,0.88625,0.8878,0.88725,0.8876,0.88735,0.88755,0.88745
0.51415,0.8335,0.87055,0.88395,0.8878,0.8902,0.89025,0.89045,0.89005,0.8899,0.88985
0.5593,0.85075,0.8804,0.89005,0.89235,0.89255,0.89255,0.89255,0.8922,0.8921,0.8922
0.5326,0.8677,0.884,0.89125,0.8939,0.895,0.895,0.89505,0.8947,0.89435,0.89425
0.52185,0.8725,0.8883,0.8943,0.89545,0.89685,0.8962,0.896,0.89585,0.89585,0.8956
0.5798,0.8796,0.88995,0.8956,0.89815,0.8988,0.89935,0.8997,0.8993,0.8993,0.899
0.45075,0.87095,0.932,0.96155,0.9686,0.96905,0.96845,0.96825,0.96785,0.96785,0.96735
