0.0484375,0.0325125,0.0423375,0.043125,0.047025,0.047875,0.0464375,0.0462,0.046175,0.0459625,0.0460375
0.1045375,0.03965,0.059875,0.0605625,0.0407125,0.036425,0.036475,0.035975,0.0357875,0.035575,0.0352125
0.0949875,0.0678625,0.040725,0.0352,0.0381875,0.0402,0.040075,0.039925,0.0400875,0.0400875,0.040175
0.0817,0.04145,0.0316,0.0283125,0.0281375,0.02865,0.0290625,0.0296125,0.0294375,0.0294,0.02945
0.1042875,0.03545,0.0273625,0.02845,0.0296625,0.028625,0.0286625,0.028825,0.0289375,0.029075,0.0286
0.1109375,0.0443375,0.0296,0.0097875,0.003575,0.0028625,0.002325,0.0019125,0.0021375,0.001975,0.0019875
0.0916625,0.02675,0.02875,0.007075,0.001875,0.0013375,0.001025,0.0008375,0.0008125,0.0007,0.001175
0.0861,0.0201125,0.0067875,0.0044625,0.0032125,0.0025625,0.00255,0.00245,0.00235,0.00225,0.002125
0.0867875,0.0232375,0.0257,0.0282625,0.0286125,0.0288125,0.02815,0.0280875,0.02775,0.0274625,0.027475
0.0985875,0.026525,0.0243125,0.0288875,0.0307125,0.0307625,0.0304125,0.0301875,0.030125,0.0302375,0.03005
0.07365,0.0130625,0.026025,0.03635,0.0394375,0.0406125,0.0403375,0.04005,0.039875,0.039775,0.039475
0.076675,0.030925,0.0335125,0.037275,0.0392,0.0387375,0.038525,0.03865,0.038525,0.038475,0.038125
