,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.1032,0.3675,0.5707,0.6383,0.6822,0.6906,0.6959,0.6978,0.6983,0.6982,0.6988,0.699,0.6998
1,0.1032,0.5187,0.6676,0.6923,0.701,0.7051,0.706,0.7068,0.7076,0.7071,0.7067,0.707,0.708
2,0.1032,0.5188,0.6529,0.6875,0.7005,0.7046,0.7091,0.7098,0.7098,0.7096,0.7096,0.7104,0.711
3,0.1032,0.6499,0.7134,0.7173,0.7191,0.722,0.7246,0.7252,0.7257,0.7258,0.7259,0.7257,0.7259
4,0.0974,0.5571,0.7533,0.781,0.7918,0.7947,0.7968,0.7976,0.7979,0.7983,0.7987,0.7993,0.7993
5,0.0974,0.4875,0.7553,0.7821,0.7928,0.7983,0.799,0.7987,0.7983,0.799,0.7986,0.7985,0.7984
6,0.0974,0.581,0.7875,0.7978,0.8039,0.8036,0.8051,0.8046,0.8045,0.8045,0.8044,0.8043,0.8043
7,0.0974,0.6192,0.8631,0.877,0.8842,0.8902,0.8913,0.893,0.8929,0.8925,0.8923,0.8925,0.8922
8,0.0974,0.658,0.8712,0.8827,0.8907,0.8941,0.8964,0.8951,0.8949,0.8945,0.8942,0.8942,0.8947
9,0.0974,0.6819,0.8783,0.8878,0.8948,0.8957,0.8967,0.8962,0.8957,0.8957,0.8958,0.8955,0.8959
10,0.0974,0.7172,0.8815,0.8892,0.8935,0.8965,0.898,0.8991,0.899,0.8987,0.8988,0.8985,0.8982
11,0.0974,0.8343,0.9464,0.9552,0.9597,0.9621,0.9622,0.9615,0.9614,0.9609,0.9609,0.9603,0.96
