,0,1,2,3,4
0,0.4912,0.4739,0.4237,0.4063,0.3963
1,0.5497,0.5044,0.4394,0.4219,0.4122
2,0.544,0.4851,0.4173,0.3969,0.3866
3,0.5617,0.5413,0.4743,0.4496,0.4341
4,0.588,0.5408,0.4541,0.43,0.4159
5,0.5808,0.5678,0.51,0.4894,0.4786
6,0.6034,0.5615,0.4792,0.4524,0.4381
7,0.6257,0.5849,0.4984,0.4708,0.458
8,0.6221,0.5955,0.5235,0.498,0.4861
9,0.6351,0.5977,0.5085,0.4801,0.4669
10,0.6196,0.5784,0.4898,0.4615,0.448
11,0.642,0.6016,0.5101,0.4827,0.4659
12,0.6358,0.608,0.5193,0.4855,0.4693
13,0.6073,0.5492,0.4471,0.4156,0.3995
14,0.6535,0.5956,0.4878,0.4526,0.4311
15,0.6532,0.5568,0.4346,0.4003,0.3828
16,0.6506,0.5592,0.4426,0.4068,0.3922
17,0.6484,0.5944,0.4709,0.4386,0.4168
18,0.6578,0.6004,0.4779,0.4431,0.4189
19,0.6677,0.5788,0.4482,0.412,0.3921
