,0,1,2,3,4
0,0.4733,0.4801,0.4485,0.4356,0.4272
1,0.4973,0.4917,0.4546,0.4425,0.4343
2,0.5654,0.529,0.4556,0.4316,0.4175
3,0.5771,0.5625,0.4947,0.476,0.4629
4,0.5792,0.5456,0.4751,0.4545,0.4415
5,0.6084,0.5595,0.4619,0.4317,0.416
6,0.6107,0.5617,0.4615,0.4281,0.4132
7,0.6095,0.5486,0.4594,0.433,0.4188
8,0.6236,0.5803,0.4904,0.4617,0.4453
9,0.6199,0.5309,0.4069,0.3759,0.3588
10,0.6291,0.5487,0.4299,0.3998,0.3866
11,0.626,0.5819,0.4827,0.4531,0.4373
12,0.6429,0.5774,0.4644,0.4322,0.4168
13,0.6464,0.5648,0.4535,0.4205,0.4055
14,0.62,0.5408,0.4178,0.3836,0.3696
15,0.6307,0.614,0.5388,0.5077,0.4928
16,0.6569,0.572,0.4513,0.4231,0.4071
17,0.6512,0.6187,0.5165,0.4805,0.4584
18,0.6533,0.6037,0.497,0.4624,0.4425
19,0.6603,0.5866,0.474,0.437,0.4181
