,0,1,2,3,4
0,0.4723,0.4665,0.4331,0.4163,0.4069
1,0.522,0.5047,0.4623,0.4435,0.434
2,0.5423,0.5239,0.4732,0.4532,0.4415
3,0.5729,0.4959,0.4086,0.3838,0.3712
4,0.5947,0.5188,0.4188,0.3939,0.382
5,0.6003,0.5116,0.399,0.3727,0.3609
6,0.6209,0.5511,0.4486,0.4193,0.4051
7,0.5853,0.5733,0.5006,0.476,0.4609
8,0.5806,0.4938,0.3921,0.3661,0.3547
9,0.63,0.5374,0.4186,0.3896,0.3766
10,0.6025,0.5496,0.4412,0.4121,0.3974
11,0.6347,0.5735,0.4597,0.4252,0.4105
12,0.623,0.5707,0.4561,0.422,0.4072
13,0.6491,0.5631,0.4326,0.402,0.387
14,0.6356,0.5673,0.4433,0.4108,0.3932
15,0.6587,0.5825,0.4528,0.4181,0.4025
16,0.6483,0.5692,0.4388,0.4051,0.3877
17,0.6403,0.5712,0.4455,0.4077,0.3921
18,0.6255,0.5785,0.4598,0.4232,0.4049
19,0.6601,0.5625,0.4316,0.3965,0.3813
