,0,1,2,3,4
0,0.483,0.4333,0.3803,0.3615,0.3523
1,0.536,0.4988,0.4342,0.4138,0.4044
2,0.5576,0.5387,0.4896,0.4715,0.4602
3,0.5121,0.4718,0.3996,0.3802,0.3688
4,0.5875,0.553,0.4698,0.4427,0.4273
5,0.5628,0.5349,0.4691,0.4462,0.4317
6,0.5783,0.5202,0.4302,0.4033,0.3906
7,0.6185,0.5748,0.4852,0.4565,0.4388
8,0.5926,0.4865,0.379,0.3524,0.3408
9,0.6017,0.5528,0.4562,0.4264,0.4091
10,0.6143,0.5698,0.4689,0.4383,0.4231
11,0.622,0.542,0.4361,0.4065,0.3908
12,0.6147,0.5632,0.4552,0.4234,0.4052
13,0.6258,0.596,0.5121,0.481,0.4628
14,0.6341,0.5938,0.5106,0.4783,0.4622
15,0.6039,0.5819,0.504,0.4759,0.4587
16,0.6421,0.5933,0.489,0.4554,0.4377
17,0.6207,0.5389,0.4234,0.3938,0.3792
18,0.648,0.5655,0.4512,0.4202,0.4008
19,0.6532,0.5769,0.4651,0.4293,0.4124
