,0,1,2,3,4
0,0.4461,0.4078,0.3693,0.3569,0.3499
1,0.5136,0.489,0.4394,0.4249,0.4169
2,0.4747,0.475,0.4447,0.4317,0.4213
3,0.5409,0.5169,0.4591,0.4396,0.4274
4,0.5463,0.5109,0.4533,0.4355,0.4253
5,0.5528,0.496,0.4347,0.4138,0.4014
6,0.5766,0.5531,0.4876,0.4686,0.4562
7,0.5993,0.5663,0.497,0.4726,0.4608
8,0.5871,0.5267,0.4384,0.4152,0.4013
9,0.6041,0.5582,0.4737,0.4466,0.4306
10,0.6059,0.544,0.4548,0.4305,0.4168
11,0.5826,0.5331,0.4471,0.4215,0.4079
12,0.6172,0.5618,0.4776,0.4502,0.4335
13,0.6187,0.5741,0.4935,0.4664,0.4504
14,0.6225,0.5626,0.4723,0.4447,0.4276
15,0.5998,0.5066,0.4088,0.3862,0.3736
16,0.6199,0.558,0.46,0.4297,0.4133
17,0.621,0.561,0.4644,0.435,0.4182
18,0.6105,0.5589,0.464,0.4318,0.4159
19,0.6385,0.5914,0.4905,0.4637,0.4453
