,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0974,0.7867,0.9435,0.9575,0.9615,0.9633,0.9629,0.9633,0.9627,0.9628,0.9626,0.9624,0.9623
1,1.0,0.7438,0.934,0.9519,0.9598,0.9661,0.9655,0.9629,0.9624,0.9624,0.962,0.9622,0.9619
2,0.0974,0.7287,0.9364,0.9514,0.9606,0.965,0.9671,0.9668,0.967,0.9671,0.9671,0.9668,0.9668
3,0.0974,0.7277,0.9592,0.967,0.9712,0.9733,0.974,0.9734,0.9732,0.973,0.973,0.9732,0.9729
4,0.0974,0.843,0.9707,0.9745,0.9768,0.9764,0.9754,0.974,0.9732,0.9729,0.9728,0.9725,0.9722
5,0.0974,0.7572,0.9598,0.9691,0.9735,0.9777,0.9777,0.9773,0.9771,0.9768,0.9769,0.9766,0.9765
6,1.0,0.8622,0.9695,0.9731,0.9745,0.977,0.9785,0.9782,0.9777,0.9772,0.9772,0.9772,0.9767
7,1.0,0.9656,0.976,0.9771,0.9773,0.9757,0.975,0.9731,0.973,0.9727,0.9727,0.9723,0.9716
