,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.1032,0.9407,0.9537,0.9554,0.9549,0.9542,0.9526,0.951,0.9499,0.9498,0.9492,0.9494,0.9489
1,0.1032,0.7609,0.9402,0.9522,0.9596,0.9628,0.9649,0.964,0.9638,0.9636,0.9633,0.9626,0.9626
2,1.0,0.902,0.9554,0.9574,0.9587,0.9583,0.9593,0.9592,0.9582,0.958,0.9582,0.9579,0.9579
3,0.0974,0.5532,0.9105,0.9447,0.9581,0.9663,0.9692,0.9696,0.9695,0.9694,0.9696,0.9696,0.9699
4,1.0,0.8566,0.9555,0.9628,0.967,0.9699,0.9707,0.9694,0.9689,0.9683,0.9682,0.9678,0.9676
5,1.0,0.8801,0.9611,0.9666,0.9701,0.9717,0.9709,0.9698,0.9697,0.9698,0.97,0.9699,0.9699
6,0.098,0.8152,0.9605,0.9687,0.973,0.9747,0.9764,0.9752,0.9751,0.9744,0.9743,0.9744,0.9738
7,0.0974,0.7128,0.9518,0.9657,0.9711,0.9737,0.9737,0.9748,0.9747,0.9746,0.9743,0.9741,0.974
