,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.1032,0.8679,0.9033,0.9024,0.9018,0.9014,0.9002,0.9035,0.9041,0.9044,0.9046,0.9045,0.9042
1,0.1032,0.89,0.9129,0.9097,0.9056,0.9047,0.9036,0.9019,0.9025,0.9028,0.9025,0.9021,0.9017
2,0.1032,0.8229,0.897,0.8973,0.8969,0.8978,0.8984,0.8997,0.8996,0.8995,0.8991,0.899,0.8991
3,0.1032,0.6443,0.8598,0.872,0.8825,0.8867,0.8909,0.8935,0.8947,0.8942,0.8942,0.8946,0.8948
4,0.1032,0.9108,0.9114,0.9081,0.9062,0.9058,0.9052,0.9041,0.9041,0.9036,0.9036,0.9035,0.9036
5,0.101,0.7441,0.8692,0.8785,0.8807,0.8852,0.8893,0.8896,0.8899,0.8896,0.8898,0.8896,0.8894
6,0.1032,0.8521,0.8819,0.8848,0.8862,0.8885,0.8893,0.8921,0.8927,0.8923,0.8921,0.8925,0.8929
7,0.101,0.7621,0.8752,0.882,0.8857,0.8881,0.8893,0.8909,0.891,0.8915,0.8914,0.8913,0.8911
